benchmark,RevTerm result,RevTerm time,LoAT result,LoAT time,AProVE result,AProVE time,Ultimate result,Ultimate time,VeryMax result,VeryMax time
ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c,MAYBE,,MAYBE,,YES,2.12524,YES,5.28896,YES,0.030346
ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c,MAYBE,,MAYBE,,YES,1.95426,YES,5.29805,YES,0.0283739
ChenFlurMukhopadhyay-SAS2012-Ex1.05_true-termination.c,MAYBE,,MAYBE,,YES,1.97578,YES,5.2797,YES,0.0289479
ChenFlurMukhopadhyay-SAS2012-Ex2.01_true-termination.c,MAYBE,,MAYBE,,YES,2.8609,YES,7.43963,YES,0.182669
ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c,NO,0.177,NO,2.47583,NO,10.3863,NO,5.55907,NO,21.0141
ChenFlurMukhopadhyay-SAS2012-Ex2.03_false-termination.c,NO,1.252,NO,1.9596,NO,3.18385,NO,4.84573,NO,5.4806
ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-termination.c,NO,0.655,NO,1.94395,NO,3.14837,NO,5.26682,NO,5.44441
ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-termination.c,MAYBE,,MAYBE,,MAYBE,,MAYBE,,MAYBE,
ChenFlurMukhopadhyay-SAS2012-Ex2.07_true-termination.c,MAYBE,,MAYBE,,YES,2.62719,YES,7.34581,YES,0.456622
ChenFlurMukhopadhyay-SAS2012-Ex2.08_true-termination.c,MAYBE,,MAYBE,,YES,2.90649,YES,7.06456,YES,0.116364
ChenFlurMukhopadhyay-SAS2012-Ex2.09_true-termination.c,MAYBE,,MAYBE,,YES,2.65666,YES,7.50578,YES,1.17862
ChenFlurMukhopadhyay-SAS2012-Ex2.10_true-termination.c,MAYBE,,MAYBE,,YES,2.01495,YES,5.24997,YES,0.0313889
ChenFlurMukhopadhyay-SAS2012-Ex2.11_false-termination.c,MAYBE,,NO,1.92338,MAYBE,,MAYBE,,MAYBE,
ChenFlurMukhopadhyay-SAS2012-Ex2.12_false-termination.c,NO,1.243,NO,3.22277,NO,3.78242,NO,5.08023,NO,12.1538
ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c,MAYBE,,MAYBE,,YES,1.96239,YES,7.4747,YES,0.234584
ChenFlurMukhopadhyay-SAS2012-Ex2.14_false-termination.c,MAYBE,,NO,1.96788,NO,3.76167,NO,4.62146,MAYBE,
ChenFlurMukhopadhyay-SAS2012-Ex2.15_false-termination.c,NO,0.161,NO,2.38146,NO,3.41069,NO,4.64477,NO,4.29613
ChenFlurMukhopadhyay-SAS2012-Ex2.16_true-termination.c,MAYBE,,MAYBE,,YES,2.56525,YES,5.39385,YES,0.415169
ChenFlurMukhopadhyay-SAS2012-Ex2.17_false-termination.c,NO,0.256,NO,2.77576,NO,3.69069,NO,5.48863,NO,8.97174
ChenFlurMukhopadhyay-SAS2012-Ex2.18_true-termination.c,MAYBE,,MAYBE,,YES,2.23347,YES,5.40351,YES,0.172858
ChenFlurMukhopadhyay-SAS2012-Ex2.19_true-termination.c,MAYBE,,MAYBE,,YES,2.48002,YES,7.73557,YES,0.122496
ChenFlurMukhopadhyay-SAS2012-Ex2.20_true-termination.c,MAYBE,,MAYBE,,YES,1.95238,YES,5.21946,YES,0.030741
ChenFlurMukhopadhyay-SAS2012-Ex2.21_true-termination.c,MAYBE,,MAYBE,,YES,2.4691,YES,5.31381,YES,1.28706
ChenFlurMukhopadhyay-SAS2012-Ex2.22_true-termination.c,MAYBE,,MAYBE,,YES,2.30184,YES,5.41738,YES,0.281285
ChenFlurMukhopadhyay-SAS2012-Ex3.01_true-termination.c,MAYBE,,MAYBE,,YES,1.9972,YES,7.77438,YES,0.117663
ChenFlurMukhopadhyay-SAS2012-Ex3.02_false-termination.c,NO,0.272,NO,2.0465,NO,3.43114,NO,4.72023,NO,6.9435
ChenFlurMukhopadhyay-SAS2012-Ex3.03_true-termination.c,MAYBE,,MAYBE,,YES,8.04607,YES,6.5024,YES,8.02953
ChenFlurMukhopadhyay-SAS2012-Ex3.04_true-termination.c,MAYBE,,MAYBE,,YES,2.50972,YES,17.3094,YES,0.187984
ChenFlurMukhopadhyay-SAS2012-Ex3.05_true-termination.c,MAYBE,,MAYBE,,YES,2.69626,YES,7.40556,YES,0.23838
ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c,NO,3.496,MAYBE,,NO,8.96717,NO,6.07536,NO,34.5266
ChenFlurMukhopadhyay-SAS2012-Ex3.07_true-termination.c,MAYBE,,MAYBE,,YES,2.36209,YES,9.76953,YES,1.43305
ChenFlurMukhopadhyay-SAS2012-Ex3.08_true-termination.c,MAYBE,,MAYBE,,YES,1.97117,YES,6.98111,YES,0.538715
ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c,MAYBE,,MAYBE,,YES,2.20272,YES,7.65864,YES,0.14738
ChenFlurMukhopadhyay-SAS2012-Ex3.10_true-termination.c,MAYBE,,MAYBE,,YES,1.96409,YES,9.71247,YES,0.0341741
ChenFlurMukhopadhyay-SAS2012-Ex4.01_true-termination.c,MAYBE,,MAYBE,,YES,2.73099,YES,17.4669,YES,2.8233
ChenFlurMukhopadhyay-SAS2012-Fig1_true-termination.c,MAYBE,,MAYBE,,YES,2.47841,YES,9.74345,YES,1.59311
Choose.c,NO,0.154,MAYBE,,NO,3.9024,NO,6.88891,NO,13.7354
ChooseLife.c,NO,3.977,NO,3.33785,NO,3.44428,MAYBE,,NO,4.95107
collatz.c,MAYBE,,MAYBE,,MAYBE,,MAYBE,,MAYBE,
ColonSipma-TACAS2001-Fig1_true-termination.c,MAYBE,,MAYBE,,YES,2.01842,YES,17.5795,YES,0.0316001
ComplInterv.c,NO,3,NO,2.11706,MAYBE,,MAYBE,,MAYBE,
ComplInterv2.c,NO,0.337,NO,3.11184,NO,3.26966,NO,4.68232,NO,4.24593
ComplInterv3.c,NO,0.208,NO,2.83756,NO,3.2108,NO,5.34353,NO,8.81417
ComplxStruc.c,NO,0.196,NO,5.88779,MAYBE,,NO,10.4413,NO,27.4378
ConvLower.c,NO,0.175,NO,2.3947,NO,3.21574,NO,5.34008,NO,0.124819
CookSeeZuleger-TACAS2013-Fig1_true-termination.c,MAYBE,,MAYBE,,YES,2.44047,YES,6.31029,YES,0.035699
CookSeeZuleger-TACAS2013-Fig7a_true-termination.c,MAYBE,,MAYBE,,YES,9.08698,YES,7.46442,YES,0.038677
CookSeeZuleger-TACAS2013-Fig7b_true-termination.c,MAYBE,,MAYBE,,YES,3.30976,YES,7.48929,YES,0.0499051
CookSeeZuleger-TACAS2013-Fig8a_true-termination.c,MAYBE,,MAYBE,,YES,2.98427,YES,6.19657,YES,0.088678
CookSeeZuleger-TACAS2013-Fig8a-modified_true-termination.c,MAYBE,,MAYBE,,YES,3.80737,YES,6.95835,YES,0.0597531
CookSeeZuleger-TACAS2013-Fig8b_true-termination.c,MAYBE,,MAYBE,,YES,12.2817,YES,6.84856,YES,0.088558
Copenhagen_disj_true-termination.c,MAYBE,,MAYBE,,YES,8.2499,YES,16.7867,MAYBE,
Copenhagen_true-termination.c,MAYBE,,MAYBE,,YES,2.00082,YES,6.01715,YES,0.028839
Cousot.c,NO,0.154,NO,2.24902,NO,3.15586,NO,5.44672,NO,25.1101
DivMinus.c,MAYBE,,MAYBE,,YES,1.94676,YES,5.39399,YES,0.0305409
DivMinus2.c,MAYBE,,MAYBE,,YES,3.75751,YES,6.4928,YES,0.0601049
DivWithoutMinus.c,MAYBE,,NO,2.99655,NO,13.0405,NO,7.42622,NO,31.5928
DoubleNeg.c,NO,8.13,MAYBE,,MAYBE,,MAYBE,,MAYBE,
easy1_true-termination.c,MAYBE,,MAYBE,,YES,2.6404,YES,5.33262,YES,0.0429179
easy2_true-termination.c,MAYBE,,MAYBE,,YES,2.07862,YES,5.47736,YES,0.028661
Et1.c,MAYBE,,MAYBE,,YES,2.71868,YES,7.39558,YES,0.228083
Et2.c,NO,0.162,NO,2.04149,NO,6.03456,NO,4.75087,NO,4.26794
Et4.c,NO,6.902,NO,2.42495,NO,11.4027,NO,4.73965,NO,6.21004
Even.c,NO,0.267,NO,2.05555,NO,3.28444,NO,5.32769,NO,8.59843
Ex01.c,NO,0.139,NO,1.74716,NO,6.02923,NO,5.34484,NO,8.37626
Ex02.c,NO,0.171,NO,2.3874,NO,3.2561,NO,5.28992,NO,0.109596
Ex03.c,NO,0.166,NO,2.37059,NO,3.27439,NO,5.24837,NO,0.144046
Ex04.c,NO,0.141,NO,1.77298,NO,2.45477,NO,5.46253,NO,8.31884
Ex05.c,NO,0.132,NO,1.66828,NO,2.44247,NO,4.662,NO,0.0357411
Ex06.c,NO,0.268,NO,2.5908,NO,3.77957,NO,6.31924,NO,0.163145
Ex07.c,NO,0.17,NO,2.58684,NO,3.20719,NO,5.72227,NO,0.076529
Ex08.c,NO,0.322,MAYBE,,NO,18.003,MAYBE,,NO,5.86234
Factorial.c,NO,57.586,MAYBE,,MAYBE,,MAYBE,,MAYBE,
Fibonacci.c,NO,3.138,NO,5.97428,NO,3.51021,MAYBE,,NO,26.7109
Flip.c,MAYBE,,NO,2.45641,NO,2.97606,NO,6.62198,NO,12.738
Flip2.c,NO,7.771,MAYBE,,NO,6.97134,NO,8.08707,NO,14.3892
Gauss.c,NO,0.162,NO,2.078,NO,3.54719,NO,5.36479,NO,21.0075
GCD.c,NO,2.808,NO,6.47593,NO,3.5622,NO,6.1754,NO,22.5929
gcd1_true-termination.c,MAYBE,,MAYBE,,YES,4.16481,YES,7.8514,YES,0.0662141
GCD2.c,NO,28.315,NO,6.29055,NO,3.67647,NO,4.92116,NO,6.79535
GCD3.c,MAYBE,,MAYBE,,YES,6.70078,YES,14.786,YES,0.0742211
GCD4.c,MAYBE,,MAYBE,,YES,3.5907,YES,8.71925,YES,0.0554599
genady_true-termination.c,MAYBE,,MAYBE,,YES,2.013,YES,5.53559,YES,0.0281171
GopanReps-CAV2006-Fig1a_true-termination.c.c,MAYBE,,MAYBE,,YES,7.65746,YES,6.37591,YES,0.0839491
Gothenburg_true-termination.c,MAYBE,,MAYBE,,YES,9.81173,YES,11.0605,YES,0.125739
Gothenburg_v2_true-termination.c,MAYBE,,MAYBE,,MAYBE,,YES,8.51023,YES,0.189868
GulavaniGulwani-CAV2008-Fig1a_true-termination.c,MAYBE,,MAYBE,,YES,5.03831,YES,8.762,YES,0.0405011
GulavaniGulwani-CAV2008-Fig1b_true-termination.c,MAYBE,,MAYBE,,YES,2.19626,YES,5.87885,YES,0.0344201
GulavaniGulwani-CAV2008-Fig1c_true-termination.c,MAYBE,,MAYBE,,YES,1.93063,YES,5.5031,YES,0.0288841
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c,MAYBE,,MAYBE,,MAYBE,,YES,7.36138,MAYBE,
Hanoi_2vars_false-termination.c,NO,0.38,NO,2.47717,NO,10.6167,NO,5.7901,NO,21.0754
Hanoi_3vars_false-termination.c,NO,3.432,MAYBE,,NO,9.65057,NO,5.70337,NO,31.8017
Hanoi_plus_false-termination.c,NO,1.75,MAYBE,,NO,16.1053,MAYBE,,NO,31.5615
HeizmannHoenickeLeikePodelski-ATVA2013-Fig1_true-termination.c,MAYBE,,MAYBE,,YES,2.39793,YES,5.74098,YES,0.042918
HeizmannHoenickeLeikePodelski-ATVA2013-Fig4_true-termination.c,MAYBE,,MAYBE,,YES,1.99044,YES,5.55113,YES,0.027884
HeizmannHoenickeLeikePodelski-ATVA2013-Fig6_true-termination.c,MAYBE,,MAYBE,,YES,1.97396,YES,5.42757,YES,0.0299
HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination.c,MAYBE,,MAYBE,,YES,3.23168,MAYBE,,YES,0.0488821
HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination.c,MAYBE,,MAYBE,,YES,6.55552,MAYBE,,YES,0.105545
IntPath.c,MAYBE,,MAYBE,,YES,2.33101,YES,4.80509,YES,0.0296471
KroeningSharyginaTsitovichWintersteiger-CAV2010-Ex_true-termination.c,MAYBE,,MAYBE,,YES,2.24718,YES,5.17687,YES,0.0308649
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c,MAYBE,,MAYBE,,YES,7.05104,YES,12.7456,YES,2.58425
Lcm.c,NO,0.56,NO,3.62539,NO,3.37104,NO,4.76479,NO,8.68397
LeikeHeizmann-TACAS2014-Ex1_true-termination.c,MAYBE,,MAYBE,,YES,2.02721,YES,5.26204,YES,0.033706
LeikeHeizmann-TACAS2014-Ex7_true-termination.c,MAYBE,,MAYBE,,YES,2.26462,YES,5.43489,YES,1.28635
LeikeHeizmann-TACAS2014-Ex8_true-termination.c,MAYBE,,MAYBE,,YES,2.19789,YES,6.36595,YES,0.033666
LeikeHeizmann-TACAS2014-Ex9_true-termination.c,MAYBE,,MAYBE,,YES,2.85047,YES,5.95508,YES,0.0658469
LeikeHeizmann-TACAS2014-Fig1_true-termination.c,MAYBE,,MAYBE,,YES,2.86005,YES,6.99811,YES,0.184061
LeikeHeizmann-WST2014-Ex5_false-termination.c,NO,19.877,NO,2.52636,NO,4.71093,MAYBE,,NO,9.69832
LeikeHeizmann-WST2014-Ex6_false-termination.c,NO,0.265,NO,1.87132,NO,3.27728,NO,5.51072,NO,17.1205
Lobnya-Boolean-Reordered_true-termination.c,MAYBE,,MAYBE,,YES,2.36571,YES,6.86463,YES,0.0802731
Log.c,MAYBE,,MAYBE,,YES,2.36868,YES,6.46765,YES,0.0299899
LogAG.c,MAYBE,,MAYBE,,YES,2.44501,YES,6.60559,YES,0.0368141
LogMult.c,MAYBE,,MAYBE,,MAYBE,,MAYBE,,MAYBE,
Loop.c,NO,0.148,NO,1.9003,NO,5.35733,NO,4.66795,NO,0.065927
Madrid_false-termination.c,NO,0.138,NO,1.78855,NO,2.31195,NO,4.99122,NO,0.0343909
Marbie1.c,NO,0.155,NO,1.75703,NO,2.72242,NO,5.28706,NO,8.3969
Marbie2.c,NO,0.139,NO,1.76826,NO,2.45751,NO,6.02954,NO,8.31711
Masse-VMCAI2014-Ex6_true-termination.c,MAYBE,,MAYBE,,YES,2.22122,YES,6.42455,YES,0.263702
Masse-VMCAI2014-Fig1a_true-termination.c,MAYBE,,MAYBE,,YES,5.25025,YES,7.55865,YES,0.0338221
Masse-VMCAI2014-Fig1b_true-termination.c,MAYBE,,MAYBE,,MAYBE,,MAYBE,,MAYBE,
McCarthy91_Iteration_true-termination.c,MAYBE,,MAYBE,,YES,2.33832,YES,11.1646,YES,0.229524
McCarthyIterative.c,MAYBE,,MAYBE,,YES,2.42974,YES,12.2322,YES,0.212294
MenloPark_true-termination.c,MAYBE,,MAYBE,,MAYBE,,YES,5.83815,YES,0.0746989
Middle.c,NO,0.157,NO,2.06184,NO,3.40116,NO,6.04055,NO,26.1308
min_rf_true-termination.c,MAYBE,,MAYBE,,YES,16.0081,YES,15.887,YES,0.0910849
MinusBuiltIn.c,MAYBE,,MAYBE,,YES,1.89431,YES,7.24682,YES,0.028011
MinusMin.c,MAYBE,,MAYBE,,YES,2.61608,YES,8.45141,YES,0.0411071
MinusUserDefined.c,MAYBE,,MAYBE,,YES,3.07608,YES,6.98053,YES,0.0412861
MirrorInterv.c,NO,1.427,NO,3.1759,NO,7.30811,NO,7.5828,MAYBE,
MirrorIntervSim.c,NO,0.23,NO,3.47862,NO,3.78422,NO,6.05415,NO,7.06785
Mysore_false-termination.c,NO,1.283,NO,2.21779,NO,7.79696,NO,5.54115,NO,21.0655
Mysore_true-termination.c,MAYBE,,MAYBE,,YES,2.92227,YES,7.37021,YES,0.0653649
Narrowing.c,MAYBE,,MAYBE,,MAYBE,,NO,20.7703,NO,28.6739
NarrowKonv.c,NO,1.889,MAYBE,,MAYBE,,MAYBE,,NO,0.701757
Nested.c,MAYBE,,MAYBE,,YES,2.30344,YES,5.73654,YES,0.0562199
NO_00.c,NO,0.14,NO,1.80787,NO,2.39553,NO,4.66672,NO,0.0659891
NO_01.c,NO,0.205,NO,3.17813,NO,2.60518,NO,5.36561,NO,0.068554
NO_02.c,NO,0.158,NO,2.02201,NO,2.47831,NO,4.75985,NO,0.0699801
NO_03.c,NO,0.17,NO,2.1646,NO,2.92148,NO,4.8594,NO,0.233807
NO_04.c,NO,,NO,3.57962,NO,4.82162,NO,7.14433,NO,13.8313
NO_10.c,NO,0.143,NO,1.87675,NO,3.09139,NO,5.54211,NO,30.0954
NO_12.c,NO,0.148,NO,2.5158,NO,3.24192,NO,7.39341,NO,29.0985
NO_13.c,NO,0.189,NO,2.74645,NO,3.47629,NO,40.0889,NO,11.8277
NO_21.c,NO,0.141,NO,1.84928,NO,2.2914,NO,4.70625,NO,0.0645261
NO_22.c,NO,0.143,NO,2.51735,NO,7.09787,NO,37.6015,NO,4.2339
NO_23.c,NO,0.147,NO,2.4655,NO,2.43127,NO,7.01249,NO,16.687
NO_24.c,NO,0.144,NO,1.95306,NO,3.55186,MAYBE,,NO,1.13889
NonTermination1_false-termination.c,NO,0.14,NO,1.7769,NO,2.77481,NO,5.24859,NO,8.44221
NonTermination2_false-termination.c,NO,1.012,MAYBE,,MAYBE,,NO,5.45913,NO,28.2854
NonTermination4_false-termination.c,NO,0.147,NO,1.87586,NO,12.6176,NO,5.27991,NO,28.1711
NonTerminationSimple2_false-termination.c,NO,0.14,NO,1.75478,NO,2.76796,NO,5.29374,NO,8.37778
NonTerminationSimple3_false-termination.c,NO,0.185,NO,2.32665,NO,6.55658,NO,5.01863,NO,4.33483
NonTerminationSimple4_false-termination.c,NO,0.157,NO,1.89421,NO,7.6204,NO,5.33739,NO,24.8854
NonTerminationSimple5_false-termination.c,NO,0.197,NO,2.17352,NO,3.20321,NO,6.40365,NO,4.34895
NonTerminationSimple6_false-termination.c,NO,0.185,NO,2.18995,NO,2.82271,NO,5.60031,NO,8.38021
NonTerminationSimple7_false-termination.c,NO,0.224,NO,2.19805,NO,2.76982,NO,4.65621,NO,4.29297
NonTerminationSimple8_false-termination.c,NO,0.358,NO,3.28964,NO,3.24918,NO,5.92849,NO,9.45953
NonTerminationSimple9_false-termination.c,NO,0.182,NO,2.2853,NO,3.07591,NO,4.58652,NO,4.25893
NoriSharma-FSE2013-Fig7_true-termination.c,MAYBE,,MAYBE,,YES,2.58253,YES,6.58738,YES,0.0393019
NoriSharma-FSE2013-Fig8_true-termination.c,MAYBE,,MAYBE,,YES,2.76362,YES,6.69738,YES,0.037954
Nyala-2lex_true-termination.c,MAYBE,,MAYBE,,YES,2.11132,YES,6.43012,YES,0.0335741
Overflow.c,MAYBE,,MAYBE,,YES,1.71831,YES,5.19563,YES,0.0274711
Parallel_true-termination.c,MAYBE,,MAYBE,,YES,2.50124,YES,6.33584,YES,0.037731
PastaA1.c,MAYBE,,MAYBE,,YES,2.14506,YES,6.00774,YES,0.0499521
PastaA10.c,MAYBE,,MAYBE,,YES,6.2804,YES,6.82291,YES,0.0679311
PastaA4.c,MAYBE,,MAYBE,,YES,1.96185,YES,6.12511,YES,0.0274809
PastaA5.c,MAYBE,,MAYBE,,YES,1.91769,YES,5.33007,YES,0.0284811
PastaA6.c,MAYBE,,MAYBE,,YES,1.96168,YES,7.04066,YES,0.030785
PastaA7.c,MAYBE,,MAYBE,,YES,2.04809,YES,5.4291,YES,0.030255
PastaA8.c,MAYBE,,MAYBE,,YES,1.95225,YES,5.29432,YES,0.0284701
PastaA9.c,MAYBE,,MAYBE,,YES,3.45544,YES,6.43134,YES,0.0859611
PastaB1.c,MAYBE,,MAYBE,,YES,1.89727,YES,5.40911,YES,0.0289881
PastaB11.c,MAYBE,,MAYBE,,YES,2.69955,YES,6.30496,YES,0.037578
PastaB14.c,MAYBE,,MAYBE,,YES,5.07741,YES,5.7026,YES,0.0344121
PastaB15.c,MAYBE,,MAYBE,,YES,2.07894,YES,6.68274,YES,0.0362871
PastaB16.c,MAYBE,,MAYBE,,YES,2.30887,YES,5.76355,YES,0.034899
